img_url,part_name,part_cat_name,color_name,rgb
https://cdn.rebrickable.com/media/parts/elements/6047276.jpg,Slope Curved 2 x 1 No Studs [1/2 Bow],Bricks Curved,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/416226.jpg,Tile 1 x 8 with Groove,Tiles,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4164108.jpg,Plate 1 x 6,Plates,Dark Red,720E0F
https://cdn.rebrickable.com/media/parts/elements/6039479.jpg,Plate Special 1 x 2 with 5.9mm Centre Side Towball,Plates Special,Dark Bluish Gray,6C6E68
https://cdn.rebrickable.com/media/parts/elements/4160863.jpg,Brick Curved 1 x 2 x 1 1/3 with Curved Top,Bricks Curved,Yellow,F2CD37
https://cdn.rebrickable.com/media/parts/elements/303421.jpg,Plate 2 x 8,Plates,Red,C91A09
https://cdn.rebrickable.com/media/parts/elements/4262663.jpg,Tile 1 x 2 with Groove,Tiles,Trans-Orange,F08F1C
https://cdn.rebrickable.com/media/parts/elements/4569624.jpg,Brick 1 x 1,Bricks,Medium Nougat,AA7D55
https://cdn.rebrickable.com/media/parts/elements/6371588.jpg,"Tile 1 x 1 with Rainbow Colors, Black Stripes print",Tiles,Coral,FF698F
https://cdn.rebrickable.com/media/parts/elements/4121715.jpg,Technic Pin with Friction Ridges Lengthwise and Center Slots,Technic Pins,Black,05131D
https://cdn.rebrickable.com/media/parts/elements/4107736.jpg,Brick 1 x 2,Bricks,Green,237841
https://cdn.rebrickable.com/media/parts/elements/4211225.jpg,Brick 1 x 4,Bricks,Reddish Brown,582A12
https://cdn.rebrickable.com/media/parts/elements/6179186.jpg,Tile Round 2 x 2 with Hole,Tiles Special,Light Bluish Gray,A0A5A9
https://cdn.rebrickable.com/media/parts/elements/4121715.jpg,Technic Pin with Friction Ridges Lengthwise and Center Slots,Technic Pins,Black,05131D
